公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態
22555003,統一超商股份有限公司,27232307,台中市第二四二分公司,臺中市南屯區三義里河南路四段二三０，二三二號一樓,03
22555003,統一超商股份有限公司,27232313,澎湖縣第十九分公司,澎湖縣馬公市朝陽里中華路二五一號一樓,03
22555003,統一超商股份有限公司,27232398,苗栗縣第六十七分公司,苗栗縣苗栗市高苗里十鄰中正路九０四號,03
22555003,統一超商股份有限公司,27232405,高雄市第二三三分公司,高雄市旗津區復興里中洲三路五七九號一樓,01
22555003,統一超商股份有限公司,27232411,高雄市第四三八分公司,高雄市路竹區大社路162號1樓,01
22555003,統一超商股份有限公司,27232427,台北市第五六二分公司,臺北市信義區松光里忠孝東路五段五二四巷一弄一，一之一號,01
22555003,統一超商股份有限公司,27232432,台北縣第六三七分公司,新北市樹林區樹人里復興路三四０號一樓,01
22555003,統一超商股份有限公司,27232448,桃園縣第三五五分公司,桃園市新屋區後庄里三鄰四十一號一樓,03
22555003,統一超商股份有限公司,27232622,台中縣第一九九分公司,臺中市烏日區榮泉村中山路三段五八二，五八四號一樓,03
22555003,統一超商股份有限公司,27232637,台南縣第一四三分公司,臺南市安定區保西村四０七號,03
22555003,統一超商股份有限公司,27232643,高雄市第四五五分公司,高雄市大樹區檨腳村中興東路7、9、11、13號1樓,01
22555003,統一超商股份有限公司,27232658,高雄市第四○八分公司,高雄市鳳山區正義里鳳甲路四九一，四九三號一樓,01
22555003,統一超商股份有限公司,27232664,台北市第六十分公司,臺北市大安區辛亥路三段157巷32號1樓、臥龍街188巷1號1樓,01
22555003,統一超商股份有限公司,27232670,台北市第三六三分公司,臺北市中正區重慶南路一段六十六號一樓,03
22555003,統一超商股份有限公司,27232685,台北市第四七八分公司,臺北市文山區萬興里秀明路二段六號,03
22555003,統一超商股份有限公司,27232947,台北縣第二八四分公司,新北市樹林區佳園路三段一０三號一樓,03
22555003,統一超商股份有限公司,27232952,台中市第二四三分公司,臺中市南屯區春社里永春南路136、138號1樓,01
22555003,統一超商股份有限公司,27233002,花蓮縣第五十七分公司,花蓮縣豐濱鄉豐濱村三民路61、65號1樓,01
22555003,統一超商股份有限公司,27233018,台北縣第二０八分公司,新北市淡水區竹圍里民權路一八五之十號一樓,03
22555003,統一超商股份有限公司,27233024,高雄市第四六二分公司,高雄市橋頭區東林村里林東路二十二之一號一樓,03
22555003,統一超商股份有限公司,27233039,台東縣第三十八分公司,臺東縣長濱鄉長濱村長濱路二之五號一樓,01
22555003,統一超商股份有限公司,27233158,台北縣第六十四分公司,新北市林口區西林村中山路九十五號一樓,03
22555003,統一超商股份有限公司,27233164,台中市第二四四分公司,臺中市西屯區河南路二段242號1樓,01
22555003,統一超商股份有限公司,27233170,台南市第一五二分公司,臺南市東區前鋒里裕農路八六六號,03
22555003,統一超商股份有限公司,27233185,屏東縣第八十九分公司,屏東縣內埔鄉和興村學人路590、592號1樓,01
22555003,統一超商股份有限公司,27233191,屏東縣第九十分公司,屏東縣屏東市三山里十一鄰海豐街七-十二號一樓,01
22555003,統一超商股份有限公司,27233517,台中縣第二００分公司,臺中市大里區國光里十五鄰德芳南路二一一號一樓,01
22555003,統一超商股份有限公司,27233523,台中縣第二０一分公司,臺中市大里區西榮里臺中縣大里市長榮里益民路二段一三七號一樓,01
22555003,統一超商股份有限公司,27233538,台中縣第二０二分公司,臺中市清水區臨港路5段828號、830號1樓,01
22555003,統一超商股份有限公司,27233544,南投縣第二十九分公司,南投縣竹山鎮山崇里六鄰集山路一段二０五一號一樓,01
22555003,統一超商股份有限公司,27233559,台北縣第四十四分公司,新北市新店區復興里中正路五一九號一樓,03
22555003,統一超商股份有限公司,27233565,台北縣第八十一分公司,新北市永和區新廍里臺北縣永和市新�L里文化路一八八號一樓,01
22555003,統一超商股份有限公司,27233571,台北縣第六三八分公司,新北市新莊區昌隆里中華路二段二五四號一樓,03
22555003,統一超商股份有限公司,27233586,台北縣第六三九分公司,新北市新莊區四維里四維路九十七巷二十六號一樓,03
22555003,統一超商股份有限公司,27233636,基隆市第十分公司,基隆市信義區智慧里十五鄰仁一路二十七號一樓,03
22555003,統一超商股份有限公司,27233642,新竹市第八十一分公司,新竹市北區東大路三段六八四號一樓,03
22555003,統一超商股份有限公司,27233657,彰化縣第九十五分公司,彰化縣彰化市阿夷里泰和街七十二號一樓,01
22555003,統一超商股份有限公司,27233663,彰化縣第一一一分公司,彰化縣花壇鄉長沙村彰員路二段五五０、五五二號一樓,01
22555003,統一超商股份有限公司,27233679,南投縣第五十七分公司,南投縣南投市永豐里十一鄰工業路三十三號一樓,01
22555003,統一超商股份有限公司,27233684,台北縣第六四０分公司,新北市板橋區漢生里文化路一段一三五、一三五之一號一樓,01
22555003,統一超商股份有限公司,27233690,台中市第二三一分公司,臺中市南屯區文山里忠勇路一一一之一，一一一之二號一樓,03
22555003,統一超商股份有限公司,27233707,台南縣第一四四分公司,臺南市永康區塩洲里臺南縣永康市�\洲里四鄰�\洲二街八十三號,01
22555003,統一超商股份有限公司,27233925,台北市第七十四分公司,臺北市中正區忠孝西路一段五十號之一（站前地下街）,01
22555003,統一超商股份有限公司,27233930,桃園縣第三五七分公司,桃園市平鎮區復旦路二段二一三號一樓,03
22555003,統一超商股份有限公司,27233946,桃園縣第三五八分公司,桃園市平鎮區北貴里正義路八十二號,01
22555003,統一超商股份有限公司,27234038,桃園縣第三五九分公司,桃園市平鎮區廣達里四鄰廣平街五十八號一樓,03
22555003,統一超商股份有限公司,27234044,新竹縣第六十六分公司,新竹縣新豐鄉上坑村坑子口一０三之四十七號一樓,03
22555003,統一超商股份有限公司,27234059,台中縣第二０三分公司,臺中市大肚區新興村沙田路二段二一九之一號一樓,03
