"","公司名稱","分公司統一編號","分公司地址","city","lon","lat"
"84","統一超商股份有限公司",16091630,"新北市汐止區汐萬路2段62巷11號1、2樓","新北市",121.6498738,25.0822955
"85","統一超商股份有限公司",16091646,"桃園市桃園區大興西路二段1號1樓","桃園市",121.3001552,25.0120518
"86","統一超商股份有限公司",16091694,"桃園市平鎮區南勢里十四鄰中豐路南勢二段377、379、3","桃園市",121.211611,24.909571
"87","統一超商股份有限公司",16091701,"臺中市沙鹿區臺灣大道7段812號1樓","臺中市",120.567953,24.238719
"88","統一超商股份有限公司",16091717,"臺南市中西區大涼里中華西路二段36號1樓","臺南市",120.1870528,22.992779
"89","統一超商股份有限公司",16092336,"臺北市文山區景中街45號1樓","臺北市",121.5440414,24.9927198
"90","統一超商股份有限公司",16092342,"新北市三峽區永館里二十一鄰文化路122號1樓","新北市",121.3709943,24.9362961
"91","統一超商股份有限公司",16093573,"新竹市北區光華里十鄰湳雅街46號1樓","新竹市",120.9708305,24.817872
"92","統一超商股份有限公司",16093588,"高雄市楠梓區加昌里四十鄰樂群路153、155號1樓","高雄市",120.2970019,22.7183071
"93","統一超商股份有限公司",16094263,"臺中市豐原區三豐路2段186、188號1樓","臺中市",120.7208917,24.26742
"94","統一超商股份有限公司",16094279,"臺南市六甲區六甲村二十二鄰中正路552號1樓","臺南市",120.3516821,23.2307498
"95","統一超商股份有限公司",16094377,"新北市汐止區中興路105號","新北市",121.632265,25.0648905
"96","統一超商股份有限公司",16094496,"臺中市烏日區中山路二段289號1樓","臺中市",120.6232005,24.1063097
"97","統一超商股份有限公司",16094502,"臺南市東區前鋒路16號1樓","臺南市",120.2128125,22.9900343
"98","統一超商股份有限公司",16094778,"新竹市西大路642號","新竹市",120.961239,24.8078891
"99","統一超商股份有限公司",16094783,"新竹縣湖口鄉孝勢村9鄰忠孝路二十、22號1樓","新竹縣",121.044156,24.9012959
"100","統一超商股份有限公司",16094952,"新北市中和區中和路380號1樓","新北市",121.5106826,25.0020802
"101","統一超商股份有限公司",16094989,"屏東縣東港鎮興東里中正路一段206號1樓","屏東縣",120.45861,22.473918
"102","統一超商股份有限公司",16095116,"高雄市林園區鳳芸二路57號1樓 / 鳳芸路3號1樓","高雄市",120.397245,22.4871033
"103","統一超商股份有限公司",16095122,"高雄市鳳山區忠義里中山西路396、398、400號1樓","高雄市",120.3401618,22.6293552
"104","統一超商股份有限公司",16095137,"屏東縣枋山鄉楓港村十七鄰舊庄路21號1樓","屏東縣",120.689735,22.1925484
"105","統一超商股份有限公司",16095447,"臺中市北屯區昌平路二段四十五之8、四十五之9號1樓","臺中市",120.683287,24.1915361
"106","統一超商股份有限公司",16095468,"新竹市西門里3鄰中山路100號1樓","新竹市",120.9653234,24.8045972
"107","統一超商股份有限公司",16095474,"雲林縣麥寮鄉麥津村中山路196號1樓","雲林縣",120.2562718,23.7486018
"108","統一超商股份有限公司",16096635,"臺中市太平區精美路1、1–1號1樓","臺中市",120.7214625,24.1200421
"109","統一超商股份有限公司",16096733,"新北市泰山區泰林路二段515、517號1樓","新北市",121.4241534,25.0637475
"110","統一超商股份有限公司",16096749,"新北市三重區重新路5段609巷12號之9、12號之10","新北市",121.46849,25.046733
"111","統一超商股份有限公司",16096781,"新北市新莊區西盛街325、327號1樓","新北市",121.4280958,25.0146667
"112","統一超商股份有限公司",16097796,"臺北市士林區士東路48號1樓","臺北市",121.5278481,25.1119193
"113","統一超商股份有限公司",16097971,"臺北市大安區大安路二段102號1樓","臺北市",121.5459455,25.0308021
"114","統一超商股份有限公司",16097986,"臺北市士林區德行東路262號1樓","臺北市",121.5347471,25.1097429
"115","統一超商股份有限公司",16098182,"基隆市中正區祥豐街339號1樓","基隆市",121.7677381,25.1446738
"116","統一超商股份有限公司",16098198,"新竹縣竹北市新社里中正西路134號1樓","新竹縣",121.0015445,24.8405732
"117","統一超商股份有限公司",16098367,"臺東縣卑南鄉明峰村忠孝路164、166、168號1樓","臺東縣",121.0923234,22.8562271
"118","統一超商股份有限公司",16098514,"宜蘭縣羅東鎮興東南路188號1樓","宜蘭縣",121.767172,24.673132
"119","統一超商股份有限公司",16098520,"臺北市大安區東豐街9號1樓","臺北市",121.5442913,25.0361134
"120","統一超商股份有限公司",16098535,"新北市汐止區忠孝東路28211樓","新北市",121.6637843,25.0682984
"121","統一超商股份有限公司",16098599,"新北市蘆洲區保新里4鄰三民路230號1樓","新北市",121.4684872,25.0896007
"122","統一超商股份有限公司",16098606,"新竹市建功里建功路6號1樓","新竹市",120.9982465,24.796193
"123","統一超商股份有限公司",16098612,"雲林縣四湖鄉四湖村中山東路113號1樓","雲林縣",120.2259039,23.6374352
"124","統一超商股份有限公司",16098900,"花蓮縣花蓮市中正路383、385號1樓:花蓮縣花蓮市和平路376樓1號","花蓮縣",121.6031807,23.9746268
"125","統一超商股份有限公司",16098916,"花蓮縣吉安鄉中華路二段5號1樓","花蓮縣",121.5878128,23.97394
"126","統一超商股份有限公司",16099339,"臺東縣臺東市正氣北路389號1樓","臺東縣",121.1337211,22.7539648
"127","統一超商股份有限公司",16099350,"雲林縣水林鄉水南村水林路157、159號1樓","雲林縣",120.2454591,23.5723136
"128","統一超商股份有限公司",16431223,"桃園市龜山區文明路43號","桃園市",121.3790806,25.0558005
"129","統一超商股份有限公司",16431238,"南投縣埔里鎮大湳里中山路1段423號1樓","南投縣",120.980462,23.97432
"130","統一超商股份有限公司",16431244,"彰化縣員林市中正路75號1樓","彰化縣",120.5756626,23.9511224
"131","統一超商股份有限公司",16431933,"高雄市鳳山區埤頂里建國路一段79號1樓 / 埤頂里建國路一段53巷2弄10號1樓","高雄市",120.376181,22.635574
"132","統一超商股份有限公司",16432519,"新竹市文華里6鄰北大路38號1樓","新竹市",120.972843,24.8128611
"133","統一超商股份有限公司",16432692,"新北市新莊區福基里十七鄰五工二路89、91號1樓","新北市",121.459287,25.066466
"134","統一超商股份有限公司",16432709,"桃園市新屋區新生里十二鄰中山路367、369、371號1","桃園市",121.1021426,24.9728424
"135","統一超商股份有限公司",16432715,"桃園市中壢區興仁路2段57號1樓","桃園市",121.2627239,24.9675531
"136","統一超商股份有限公司",16432911,"臺北市大安區建國南路一段274號1樓","臺北市",121.5373045,25.0364085
"137","統一超商股份有限公司",16432927,"臺北市中正區永昌里21鄰中華路2段405、407號1樓","臺北市",121.506847,25.0363093
"138","統一超商股份有限公司",16432932,"嘉義市西區大溪里北港路597號1樓","嘉義市",120.4192225,23.4852796
"139","統一超商股份有限公司",16433051,"高雄市新興區興昌里二十二鄰中正三路30號","高雄市",120.3060706,22.6283893
"140","統一超商股份有限公司",16433067,"高雄市鳥松區大智路5、7號1樓","高雄市",120.3612649,22.658882
"141","統一超商股份有限公司",16433355,"宜蘭縣礁溪鄉礁溪路四段85、87號1樓","宜蘭縣",121.7688544,24.8195917
"142","統一超商股份有限公司",16433361,"花蓮縣吉安鄉慶豐村24鄰中山路三段423號1樓","花蓮縣",121.5675121,23.9795391
"143","統一超商股份有限公司",16433897,"臺南市學甲區慈生里1鄰中正路298號1樓","臺南市",120.1819092,23.2302916
"144","統一超商股份有限公司",16434586,"屏東縣車城鄉中山路74、76號1樓","屏東縣",120.7138465,22.0744673
"145","統一超商股份有限公司",16434592,"新北市永和區中和路417、419號1樓","新北市",121.5091926,25.0006565
"146","統一超商股份有限公司",16434811,"新北市三重區自強路4段102、104號1樓","新北市",121.4913399,25.0798004
"147","統一超商股份有限公司",16434848,"臺中市北區太原路一段492號地下第1層1樓、忠明八街1號","臺中市",120.6706705,24.1648621
"148","統一超商股份有限公司",16434919,"臺南市仁德區中正路二段1052號","臺南市",120.2528271,22.9681958
"149","統一超商股份有限公司",16434925,"高雄市茄萣區白雲村茄萣路二段四0, 3號1樓","高雄市",120.1829926,22.9017618
"150","統一超商股份有限公司",16434946,"高雄市大寮區自由路1、1–1號1樓","高雄市",120.3885889,22.6143892
"151","統一超商股份有限公司",16435558,"臺北市中山區長春路67號1樓","臺北市",121.5265302,25.0550438
"152","統一超商股份有限公司",16436156,"新北市汐止區茄苳里茄苳路196號1樓","新北市",121.6701773,25.0690607
"153","統一超商股份有限公司",16436331,"基隆市安樂區基金三路80、80-1號1樓","基隆市",121.6956118,25.1568145
"154","統一超商股份有限公司",16436347,"新北市三重區福德里成功路106、106–2號1樓","新北市",121.487412,25.051455
"155","統一超商股份有限公司",16436352,"臺北市信義區大仁里8鄰林口街48號","臺北市",121.579637,25.03919
"156","統一超商股份有限公司",16436509,"臺北市北投區振興街31號1樓","臺北市",121.5223145,25.1179988
"157","統一超商股份有限公司",16436711,"臺北市北投區公館路31號11樓","臺北市",121.5031447,25.1330976
"158","統一超商股份有限公司",16437562,"臺南市關廟區南花村中正路881號1樓","臺南市",120.3314778,22.9617711
"159","統一超商股份有限公司",16437752,"宜蘭縣宜蘭市泰山路212號","宜蘭縣",121.738131,24.751686
"160","統一超商股份有限公司",16437774,"屏東縣恆春鎮城南里中正路67號1樓","屏東縣",120.7446324,22.0029359
"161","統一超商股份有限公司",16437850,"新北市中和區民享街38、38-1號1樓","新北市",121.473866,25.0029281
"162","統一超商股份有限公司",16437922,"臺中市北屯區東山路一段212號1樓","臺中市",120.7129583,24.1727792
"163","統一超商股份有限公司",16438210,"基隆市中山區復興路193、195、197號1樓","基隆市",121.7259451,25.1465727
"164","統一超商股份有限公司",16438437,"臺北市信義區新仁里24鄰東興路57號1樓","臺北市",121.566457,25.047321
"165","統一超商股份有限公司",16438443,"基隆市仁愛區仁五路63號1樓","基隆市",121.7402212,25.1276581
"166","統一超商股份有限公司",16438823,"屏東縣潮州鎮新生里中正路1號1樓","屏東縣",120.5385624,22.5514346
"167","統一超商股份有限公司",16438838,"屏東縣林邊鄉中山路312號1樓","屏東縣",120.5127151,22.4373747
"168","統一超商股份有限公司",16439251,"臺中市北屯區松竹里崇德六路15號1樓","臺中市",120.689279,24.1801
"169","統一超商股份有限公司",16439273,"臺南市北區國姓里西門路四段2號1樓","臺南市",120.2057783,23.0056317
"170","統一超商股份有限公司",16439371,"基隆市仁愛區成功一路115、117號1樓","基隆市",121.73693,25.1274842
"171","統一超商股份有限公司",16439392,"新北市樹林區中華路120號1樓","新北市",121.4177915,24.9806484
"172","統一超商股份有限公司",16439750,"屏東縣屏東市瑞光里香楊巷五十九–12號1樓","屏東縣",120.5116384,22.6645628
"173","統一超商股份有限公司",16440074,"新北市深坑區文化街82號1樓","新北市",121.6177621,25.0019669
"174","統一超商股份有限公司",16440089,"新北市新店區民權路96號","新北市",121.5366928,24.9830178
"175","統一超商股份有限公司",16440172,"新竹市延平路一段252號1樓","新竹市",120.9530692,24.8051655
"176","統一超商股份有限公司",16440187,"新竹市科學園路45號1樓","新竹市",121.010503,24.785733
"177","統一超商股份有限公司",16440193,"新北市中和區景安路100、102、104號1樓","新北市",121.5054379,24.9956897
"178","統一超商股份有限公司",16440497,"苗栗縣三義鄉廣盛村二十鄰中正路118號1樓","苗栗縣",120.771892,24.4135876
"179","統一超商股份有限公司",16440503,"臺中市西屯區西屯路二段256巷8、10號1樓","臺中市",120.6475325,24.1710771
"180","統一超商股份有限公司",16440927,"雲林縣東勢鄉東南村十鄰東勢東路84號1樓","雲林縣",120.254992,23.67486
"181","統一超商股份有限公司",16440932,"臺南市永康區埔園里中山路90號1樓","臺南市",120.256718,23.0285
"182","統一超商股份有限公司",16441171,"宜蘭縣蘇澳鎮蘇北里3鄰中山路74、76號1樓","宜蘭縣",121.8349568,24.596564
"183","統一超商股份有限公司",16441186,"新北市土城區學府路一段28號1樓","新北市",121.4583118,24.9886098
"184","統一超商股份有限公司",16441192,"桃園市桃園區經國路405號1樓","桃園市",121.304858,25.017527
"185","統一超商股份有限公司",16441377,"桃園市大園區大觀路604、606號","桃園市",121.1756082,25.0622213
"186","統一超商股份有限公司",16441735,"新北市新店區安成街29、35號","新北市",121.5099064,24.9610792
"187","統一超商股份有限公司",16442143,"新北市板橋區南雅南路一段8–2號1樓","新北市",121.456094,25.0067101
"188","統一超商股份有限公司",16442170,"臺南市新市區永就村中華路五十三巷9號1樓","臺南市",120.2946018,23.0639859
"189","統一超商股份有限公司",16442241,"桃園市大園區菓林里三民路2段110、112、114號1樓","桃園市",121.2543353,25.0865875
"190","統一超商股份有限公司",16442559,"臺北市南港區興華路117、119、121、123、125號1樓","臺北市",121.60574,25.0569295
"191","統一超商股份有限公司",16442946,"高雄市三民區寶龍里正興路3號1樓","高雄市",120.3229934,22.6460195
"192","統一超商股份有限公司",16443059,"高雄市苓雅區安祥里六合路60號1樓","高雄市",120.3175449,22.6321291
"193","統一超商股份有限公司",16443071,"新北市新店區安民街72號","新北市",121.5166043,24.9666332
"194","統一超商股份有限公司",16443086,"桃園市大園區竹圍里竹圍街45-3號1樓","桃園市",121.2432291,25.1046496
"195","統一超商股份有限公司",16443092,"桃園市龍潭區中正路472、474號","桃園市",121.2189453,24.8576233
"196","統一超商股份有限公司",16443157,"臺北市南港區忠孝東路六段276號","臺北市",121.5890698,25.0491015
"197","統一超商股份有限公司",16443179,"雲林縣斗南鎮大同路135號1樓","雲林縣",120.4747157,23.6793012
"198","統一超商股份有限公司",16443375,"新北市新店區安和里安民街335、337、339號1樓","新北市",121.5171936,24.974856
"199","統一超商股份有限公司",16443380,"臺中市西屯區光明路三十四–28號1樓","臺中市",120.6386041,24.1785452
"200","統一超商股份有限公司",16443950,"臺南市歸仁區看東村一鄰中山路一段301號1樓","臺南市",120.2858846,22.9519268
"201","統一超商股份有限公司",16444563,"花蓮縣吉安鄉吉安村中山路三段2號","花蓮縣",121.5580227,23.9852781
"202","統一超商股份有限公司",16444584,"臺中市東區十甲路397號1樓","臺中市",120.7076865,24.144607
"203","統一超商股份有限公司",16444705,"高雄市苓雅區五福里建國一路208號","高雄市",120.3283501,22.6331835
"204","統一超商股份有限公司",16444711,"屏東縣萬丹鄉萬全村萬丹路1段366、368號1樓","屏東縣",120.488939,22.584087
"205","統一超商股份有限公司",16444769,"新北市永和區秀林里永元路93號1樓","新北市",121.522322,25.0017
"206","統一超商股份有限公司",16444775,"新北市五股區工商路150、152號1樓","新北市",121.4344494,25.0869664
"207","統一超商股份有限公司",16444780,"桃園市中壢區吉林二路83巷30、32、34號1樓","桃園市",121.2476965,24.9831631
"208","統一超商股份有限公司",16445346,"嘉義縣民雄鄉西安村二十二鄰西安路37、39號1樓","嘉義縣",120.421972,23.555862
"209","統一超商股份有限公司",16445351,"屏東縣高樹鄉長榮村興中路193、195號1樓","屏東縣",120.5993304,22.8236958
"210","統一超商股份有限公司",16445710,"新北市樹林區復興路1號","新北市",121.4228923,24.9949054
"211","統一超商股份有限公司",16445731,"屏東縣屏東市永安里復興路258號1樓","屏東縣",120.487786,22.663044
"212","統一超商股份有限公司",16446366,"桃園市桃園區中正路455號1樓","桃園市",121.3066957,25.0013942
"213","統一超商股份有限公司",16446372,"桃園市龍潭區民族路168、170、172號1樓","桃園市",121.2356895,24.8414145
"214","統一超商股份有限公司",16446387,"新竹縣竹東鎮中豐路二段245號1樓","新竹縣",121.0914762,24.7235015
"215","統一超商股份有限公司",16446561,"新北市中和區民德路126、126–1號","新北市",121.4687397,25.0009965
"216","統一超商股份有限公司",16446817,"新北市蘆洲區中正路261號1樓","新北市",121.467417,25.087215
"217","統一超商股份有限公司",16446844,"屏東縣恆春鎮墾丁里墾丁路333號1樓","屏東縣",120.795174,21.945836
"218","統一超商股份有限公司",16446915,"新北市蘆洲區永平街32巷12弄1、3號1樓","新北市",121.459225,25.0915373
"219","統一超商股份有限公司",16447029,"花蓮縣新城鄉北埔村光復路462號1樓","花蓮縣",121.6051569,24.0360213
"220","統一超商股份有限公司",16447034,"花蓮縣花蓮市中山路426號","花蓮縣",121.6012362,23.9876482
"221","統一超商股份有限公司",16447463,"嘉義縣水上鄉水頭村中興路三七八、三八0號1樓","嘉義縣",120.4008257,23.4307978
"222","統一超商股份有限公司",16447479,"臺南市北區正風里十六鄰長榮路五段448號1樓","臺南市",120.2136833,23.0133151
"223","統一超商股份有限公司",16447484,"高雄市鳳山區武松里1鄰建國路二段2號1樓","高雄市",120.3636725,22.6354273
"224","統一超商股份有限公司",16447512,"新北市永和區保生路22巷2號1樓","新北市",121.5069531,25.0077806
"225","統一超商股份有限公司",16447864,"臺北市文山區景行里景文街96、98號1樓","臺北市",121.5410017,24.9902314
"226","統一超商股份有限公司",16447870,"桃園市中壢區中央東路62號1樓","桃園市",121.2254414,24.9564471
"227","統一超商股份有限公司",16448174,"臺南市官田區隆田村十四鄰文化街130號1樓","臺南市",120.3550808,23.1948768
"228","統一超商股份有限公司",16448189,"臺南市新化區觀音里中正路553、557號1樓","臺南市",120.307126,23.0382029
"229","統一超商股份有限公司",16448202,"嘉義縣民雄鄉東榮村4鄰建國路一段134號1樓","嘉義縣",120.433981,23.557178
"230","統一超商股份有限公司",16448435,"高雄市大寮區山頂村內厝路219號1樓","高雄市",120.389695,22.6083669
"231","統一超商股份有限公司",16448441,"屏東縣屏東市龍華里龍華路152、156號1樓","屏東縣",120.4826437,22.6359459
"232","統一超商股份有限公司",16448483,"臺南市北區大豐里文賢路315號1樓","臺南市",120.1934348,23.0067817
"233","統一超商股份有限公司",16448667,"新北市淡水區中正路57、59號1樓","新北市",121.4415671,25.1695322
"234","統一超商股份有限公司",16448673,"臺北市中山區合江街117號1樓","臺北市",121.5393178,25.0603401
"235","統一超商股份有限公司",16448836,"雲林縣崙背鄉7鄰南光路3號1樓","雲林縣",120.3533371,23.7592936
"236","統一超商股份有限公司",16448857,"臺南市仁德區田厝村1鄰中正路一段527.529號","臺南市",120.2259134,22.918661
"237","統一超商股份有限公司",16448863,"臺南市善化區小新里成功路2–2號","臺南市",120.3191522,23.1273164
"238","統一超商股份有限公司",16449173,"臺中市大里區東榮路282號1樓","臺中市",120.686093,24.110586
"239","統一超商股份有限公司",16449504,"新竹市東區民生路149、151、153號1樓","新竹市",120.9764762,24.8106884
"240","統一超商股份有限公司",16449595,"新北市中和區中正路778號1樓","新北市",121.4853865,25.0005575
"241","統一超商股份有限公司",16449602,"新北市新店區中興路一段252號","新北市",121.544657,24.966817
"242","統一超商股份有限公司",16449639,"屏東縣鹽埔鄉維新路134-3、134-6、136號1樓","屏東縣",120.5576728,22.7420288
"243","統一超商股份有限公司",16449645,"屏東縣屏東市大連里廣東路280、280之1號1樓","屏東縣",120.5011205,22.6771965
